Epoch,Loss,Accuracy,Val_Loss,Val_Accuracy
1,1.0407,0.6186,8.0530,0.3895
2,0.6561,0.7635,10.5635,0.5125
3,0.5694,0.8031,20.2675,0.2642
4,0.5245,0.8226,10.9272,0.4100
5,0.4596,0.8421,4.0520,0.6606
6,0.3135,0.8999,8.0110,0.5809
7,0.4238,0.8545,4.9272,0.5923
8,0.2789,0.9084,11.0411,0.4647
9,0.3116,0.8993,10.6638,0.4579
10,0.2668,0.9123,12.1474,0.3941
11,0.3235,0.8889,26.8153,0.2210
12,0.2560,0.9149,18.9972,0.2369
13,0.2268,0.9240,18.6681,0.2825
14,0.2364,0.9227,28.9839,0.2164
15,0.2565,0.9298,6.8657,0.5877
